ID	Species	GSMID	Cell_line	Cell_type	Tissue_type	Factor	File
54114	Homo sapiens	GSM1682261	K562	Erythroblast	Bone Marrow	AGO2	54114_sort_peaks.narrowPeak.bed
54115	Homo sapiens	GSM1682262	K562	Erythroblast	Bone Marrow	AGO2	54115_sort_peaks.narrowPeak.bed
54116	Homo sapiens	GSM1682263	K562	Erythroblast	Bone Marrow	AGO2	54116_sort_peaks.narrowPeak.bed
54117	Homo sapiens	GSM1682264	K562	Erythroblast	Bone Marrow	AGO2	54117_sort_peaks.narrowPeak.bed
54118	Homo sapiens	GSM1682265	K562	Erythroblast	Bone Marrow	AGO2	54118_sort_peaks.narrowPeak.bed
54121	Homo sapiens	GSM1684630	None	Mesenchymal Stem Cell	None	POLR2A	54121_sort_peaks.narrowPeak.bed
54122	Homo sapiens	GSM1684631	None	Mesenchymal Stem Cell	None	POLR2A	54122_sort_peaks.narrowPeak.bed
54123	Homo sapiens	GSM1684632	None	Mesenchymal Stem Cell	None	POLR2A	54123_sort_peaks.narrowPeak.bed
54124	Homo sapiens	GSM1684633	None	Mesenchymal Stem Cell	None	POLR2A	54124_sort_peaks.narrowPeak.bed
54125	Homo sapiens	GSM1684634	None	Mesenchymal Stem Cell	None	CEBPB	54125_sort_peaks.narrowPeak.bed
54126	Homo sapiens	GSM1684635	None	Mesenchymal Stem Cell	None	CEBPB	54126_sort_peaks.narrowPeak.bed
54127	Homo sapiens	GSM1684636	None	Mesenchymal Stem Cell	None	CEBPB	54127_sort_peaks.narrowPeak.bed
54128	Homo sapiens	GSM1684637	None	Mesenchymal Stem Cell	None	NR3C1	54128_sort_peaks.narrowPeak.bed
54129	Homo sapiens	GSM1684638	None	Mesenchymal Stem Cell	None	ATF4	54129_sort_peaks.narrowPeak.bed
54131	Homo sapiens	GSM1684640	None	Mesenchymal Stem Cell	None	CEBPB	54131_sort_peaks.narrowPeak.bed
54132	Homo sapiens	GSM1684641	None	Mesenchymal Stem Cell	None	CEBPB	54132_sort_peaks.narrowPeak.bed
54133	Homo sapiens	GSM1684642	None	Mesenchymal Stem Cell	None	CEBPB	54133_sort_peaks.narrowPeak.bed
54134	Homo sapiens	GSM1684643	None	Mesenchymal Stem Cell	None	CEBPB	54134_sort_peaks.narrowPeak.bed
54135	Homo sapiens	GSM1684644	None	Mesenchymal Stem Cell	None	ATF4	54135_sort_peaks.narrowPeak.bed
54136	Homo sapiens	GSM1684645	None	Mesenchymal Stem Cell	None	CEBPB	54136_sort_peaks.narrowPeak.bed
54137	Homo sapiens	GSM1684646	None	Mesenchymal Stem Cell	None	CEBPB	54137_sort_peaks.narrowPeak.bed
54138	Homo sapiens	GSM1684647	None	Mesenchymal Stem Cell	None	CEBPB	54138_sort_peaks.narrowPeak.bed
54139	Homo sapiens	GSM1684648	None	Mesenchymal Stem Cell	None	ATF4	54139_sort_peaks.narrowPeak.bed
54140	Homo sapiens	GSM1684649	None	Mesenchymal Stem Cell	None	ATF4	54140_sort_peaks.narrowPeak.bed
54151	Homo sapiens	GSM1689152	Jurkat	T Lymphocyte	Blood	CTCF	54151_sort_peaks.narrowPeak.bed
54152	Homo sapiens	GSM1690055	OCI-Ly1	B cell lymphoma	Bone Marrow	FOXP1	54152_sort_peaks.narrowPeak.bed
54153	Homo sapiens	GSM1690056	OCI-Ly3	B Lymphocyte	Bone Marrow	FOXP1	54153_sort_peaks.narrowPeak.bed
54154	Homo sapiens	GSM1690057	OCI-Ly7	B cell lymphoma	Blood	FOXP1	54154_sort_peaks.narrowPeak.bed
54155	Homo sapiens	GSM1690058	OCI-Ly10	B Lymphocyte	Bone Marrow	FOXP1	54155_sort_peaks.narrowPeak.bed
54156	Homo sapiens	GSM1690059	None	B Lymphocyte	None	FOXP1	54156_sort_peaks.narrowPeak.bed
54234	Homo sapiens	GSM1697879	Jurkat	T Lymphocyte	Blood	RUNX1	54234_sort_peaks.narrowPeak.bed
54236	Homo sapiens	GSM1697881	Jurkat	T Lymphocyte	Blood	GATA3	54236_sort_peaks.narrowPeak.bed
54240	Homo sapiens	GSM1703567	None	Stromal Cell	Endometrium	PGR	54240_sort_peaks.narrowPeak.bed
54241	Homo sapiens	GSM1703568	None	Stromal Cell	Endometrium	FOSL2	54241_sort_peaks.narrowPeak.bed
54243	Homo sapiens	GSM1703607	None	Stromal Cell	Endometrium	FOXO1	54243_sort_peaks.narrowPeak.bed
54244	Homo sapiens	GSM1703608	None	Stromal Cell	Endometrium	POLR2A	54244_sort_peaks.narrowPeak.bed
54255	Homo sapiens	GSM1708661	None	None	Kidney	NR3C2	54255_sort_peaks.narrowPeak.bed
54256	Homo sapiens	GSM1708662	None	None	Kidney	NR3C2	54256_sort_peaks.narrowPeak.bed
54332	Homo sapiens	GSM1709938	None	Adipocyte	None	BRD4	54332_sort_peaks.narrowPeak.bed
54333	Homo sapiens	GSM1709939	None	Adipocyte	None	BRD4	54333_sort_peaks.narrowPeak.bed
54380	Homo sapiens	GSM1726361	MCF-7	Epithelium	Breast	LMTK3	54380_sort_peaks.narrowPeak.bed
54381	Homo sapiens	GSM1726362	MDA-MB-231	Epithelium	Breast	LMTK3	54381_sort_peaks.narrowPeak.bed
54385	Homo sapiens	GSM772565	DLD-1	Epithelium	Colon	DKK1	54385_sort_peaks.narrowPeak.bed
54386	Homo sapiens	GSM772566	DLD-1	Epithelium	Colon	DKK1	54386_sort_peaks.narrowPeak.bed
54396	Homo sapiens	GSM941194	LNCaP	Epithelium	Prostate	GATA2	54396_sort_peaks.narrowPeak.bed
54397	Homo sapiens	GSM941195	LNCaP	Epithelium	Prostate	GATA2	54397_sort_peaks.narrowPeak.bed
54511	Homo sapiens	GSM1429415	MCF-10A	Epithelium	Breast	MYC	54511_sort_peaks.narrowPeak.bed
54512	Homo sapiens	GSM1429416	MCF-10A	Epithelium	Breast	MYC	54512_sort_peaks.narrowPeak.bed
54513	Homo sapiens	GSM1429417	MCF-10A	Epithelium	Breast	MYC	54513_sort_peaks.narrowPeak.bed
54514	Homo sapiens	GSM1429418	MCF-10A	Epithelium	Breast	ZBTB17	54514_sort_peaks.narrowPeak.bed
54515	Homo sapiens	GSM1429419	MCF-10A	Epithelium	Breast	MYC	54515_sort_peaks.narrowPeak.bed
54516	Homo sapiens	GSM1429420	MCF-10A	Epithelium	Breast	MYC	54516_sort_peaks.narrowPeak.bed
54517	Homo sapiens	GSM1429421	MCF-10A	Epithelium	Breast	MYC	54517_sort_peaks.narrowPeak.bed
54518	Homo sapiens	GSM1429422	MCF-10A	Epithelium	Breast	MYC	54518_sort_peaks.narrowPeak.bed
54519	Homo sapiens	GSM1429753	MCF-7	Epithelium	Breast	TP53	54519_sort_peaks.narrowPeak.bed
54520	Homo sapiens	GSM1429754	MDA-MB-175VII	Epithelium	Breast	TP53	54520_sort_peaks.narrowPeak.bed
54521	Homo sapiens	GSM1429755	MDA-MB-468	Epithelium	Mammary Gland	TP53	54521_sort_peaks.narrowPeak.bed
54522	Homo sapiens	GSM1429756	HCC70	Epithelium	Breast	TP53	54522_sort_peaks.narrowPeak.bed
54523	Homo sapiens	GSM1429757	BT-549	Epithelium	Mammary Gland	TP53	54523_sort_peaks.narrowPeak.bed
54548	Homo sapiens	GSM1462552	None	Fibroblast	None	RBPJ	54548_sort_peaks.narrowPeak.bed
54549	Homo sapiens	GSM1462553	None	Fibroblast	None	RBPJ	54549_sort_peaks.narrowPeak.bed
54573	Homo sapiens	GSM1495181	U2OS	None	Bone	HSF1	54573_sort_peaks.narrowPeak.bed
54574	Homo sapiens	GSM1495182	U2OS	None	Bone	HSF1	54574_sort_peaks.narrowPeak.bed
54608	Homo sapiens	GSM1515738	SF268	None	None	YAP1	54608_sort_peaks.narrowPeak.bed
54609	Homo sapiens	GSM1515739	SF268	None	None	YAP1	54609_sort_peaks.narrowPeak.bed
54611	Homo sapiens	GSM1515741	SF268	None	None	TEAD1	54611_sort_peaks.narrowPeak.bed
54612	Homo sapiens	GSM1515742	SF268	None	None	TEAD1	54612_sort_peaks.narrowPeak.bed
54616	Homo sapiens	GSM1517602	CyT49	Embryonic Stem Cell	Embryo	SOX9	54616_sort_peaks.narrowPeak.bed
54620	Homo sapiens	GSM1523056	MCF-7	Epithelium	Breast	ESR1	54620_sort_peaks.narrowPeak.bed
54621	Homo sapiens	GSM1523057	MCF-7	Epithelium	Breast	ESR1	54621_sort_peaks.narrowPeak.bed
54622	Homo sapiens	GSM1523058	MCF-7	Epithelium	Breast	NCAPG	54622_sort_peaks.narrowPeak.bed
54623	Homo sapiens	GSM1523059	MCF-7	Epithelium	Breast	NCAPG	54623_sort_peaks.narrowPeak.bed
54624	Homo sapiens	GSM1523060	MCF-7	Epithelium	Breast	NCAPG	54624_sort_peaks.narrowPeak.bed
54625	Homo sapiens	GSM1523061	MCF-7	Epithelium	Breast	NCAPG	54625_sort_peaks.narrowPeak.bed
54626	Homo sapiens	GSM1523062	MCF-7	Epithelium	Breast	NCAPG	54626_sort_peaks.narrowPeak.bed
54627	Homo sapiens	GSM1523063	MCF-7	Epithelium	Breast	NCAPG	54627_sort_peaks.narrowPeak.bed
54628	Homo sapiens	GSM1523064	MCF-7	Epithelium	Breast	NCAPG	54628_sort_peaks.narrowPeak.bed
54629	Homo sapiens	GSM1523065	MCF-7	Epithelium	Breast	NCAPG	54629_sort_peaks.narrowPeak.bed
54630	Homo sapiens	GSM1523066	MCF-7	Epithelium	Breast	NCAPG2	54630_sort_peaks.narrowPeak.bed
54631	Homo sapiens	GSM1523067	MCF-7	Epithelium	Breast	NCAPG2	54631_sort_peaks.narrowPeak.bed
54632	Homo sapiens	GSM1523068	MCF-7	Epithelium	Breast	NCAPG	54632_sort_peaks.narrowPeak.bed
54633	Homo sapiens	GSM1523069	MCF-7	Epithelium	Breast	NCAPG	54633_sort_peaks.narrowPeak.bed
54634	Homo sapiens	GSM1523070	MCF-7	Epithelium	Breast	HECTD1	54634_sort_peaks.narrowPeak.bed
54635	Homo sapiens	GSM1523071	MCF-7	Epithelium	Breast	HECTD1	54635_sort_peaks.narrowPeak.bed
54636	Homo sapiens	GSM1523072	MCF-7	Epithelium	Breast	EP300	54636_sort_peaks.narrowPeak.bed
54637	Homo sapiens	GSM1523073	MCF-7	Epithelium	Breast	EP300	54637_sort_peaks.narrowPeak.bed
54638	Homo sapiens	GSM1523074	MCF-7	Epithelium	Breast	EP300	54638_sort_peaks.narrowPeak.bed
54639	Homo sapiens	GSM1523075	MCF-7	Epithelium	Breast	EP300	54639_sort_peaks.narrowPeak.bed
54640	Homo sapiens	GSM1523076	MCF-7	Epithelium	Breast	EP300	54640_sort_peaks.narrowPeak.bed
54641	Homo sapiens	GSM1523077	MCF-7	Epithelium	Breast	POLR2A	54641_sort_peaks.narrowPeak.bed
54642	Homo sapiens	GSM1523078	MCF-7	Epithelium	Breast	POLR2A	54642_sort_peaks.narrowPeak.bed
54643	Homo sapiens	GSM1523079	MCF-7	Epithelium	Breast	POLR2A	54643_sort_peaks.narrowPeak.bed
54644	Homo sapiens	GSM1523080	MCF-7	Epithelium	Breast	POLR2A	54644_sort_peaks.narrowPeak.bed
54645	Homo sapiens	GSM1523081	MCF-7	Epithelium	Breast	ESR1	54645_sort_peaks.narrowPeak.bed
54646	Homo sapiens	GSM1523082	MCF-7	Epithelium	Breast	ESR1	54646_sort_peaks.narrowPeak.bed
54647	Homo sapiens	GSM1523083	MCF-7	Epithelium	Breast	ESR1	54647_sort_peaks.narrowPeak.bed
54648	Homo sapiens	GSM1523084	MCF-7	Epithelium	Breast	ESR1	54648_sort_peaks.narrowPeak.bed
54649	Homo sapiens	GSM1523085	MCF-7	Epithelium	Breast	NCAPG	54649_sort_peaks.narrowPeak.bed
54650	Homo sapiens	GSM1523086	MCF-7	Epithelium	Breast	NCAPG	54650_sort_peaks.narrowPeak.bed
54657	Homo sapiens	GSM1524254	ALL-SIL	T Lymphocyte	Blood	TLX1	54657_sort_peaks.narrowPeak.bed
54660	Homo sapiens	GSM1535696	HCT-116	None	Colon	HNF4A	54660_sort_peaks.narrowPeak.bed
54661	Homo sapiens	GSM1535697	HCT-116	None	Colon	TCF4	54661_sort_peaks.narrowPeak.bed
54662	Homo sapiens	GSM1535698	HCT-116	None	Colon	TCF4	54662_sort_peaks.narrowPeak.bed
54663	Homo sapiens	GSM1535699	HCT-116	None	Colon	TCF4	54663_sort_peaks.narrowPeak.bed
54664	Homo sapiens	GSM1535700	HCT-116	None	Colon	TCF4	54664_sort_peaks.narrowPeak.bed
54665	Homo sapiens	GSM1535701	HCT-116	None	Colon	HNF4A	54665_sort_peaks.narrowPeak.bed
54666	Homo sapiens	GSM1535702	HCT-116	None	Colon	HNF4A	54666_sort_peaks.narrowPeak.bed
54667	Homo sapiens	GSM1535703	HCT-116	None	Colon	TCF4	54667_sort_peaks.narrowPeak.bed
54668	Homo sapiens	GSM1535704	HCT-116	None	Colon	TCF4	54668_sort_peaks.narrowPeak.bed
54669	Homo sapiens	GSM1535705	HCT-116	None	Colon	TCF4	54669_sort_peaks.narrowPeak.bed
54670	Homo sapiens	GSM1535706	HCT-116	None	Colon	TCF4	54670_sort_peaks.narrowPeak.bed
54673	Homo sapiens	GSM1535709	HCT-116	None	Colon	HNF4A	54673_sort_peaks.narrowPeak.bed
54674	Homo sapiens	GSM1535710	HCT-116	None	Colon	HNF4A	54674_sort_peaks.narrowPeak.bed
54675	Homo sapiens	GSM1542532	NCI-H2052	Epithelium	Lung	YAP1	54675_sort_peaks.narrowPeak.bed
54676	Homo sapiens	GSM1542533	NCI-H2052	Epithelium	Lung	YAP1	54676_sort_peaks.narrowPeak.bed
55122	Homo sapiens	GSM1571726	None	None	Adipose	PPARG	55122_sort_peaks.narrowPeak.bed
